URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=613546,404,,1/21/17,Not found,Desktop,4/28/17
http://www.law.columbia.edu/null,404,,1/19/17,Not found,Desktop,5/10/17
http://www.law.columbia.edu/media_inquiries/news_faculty,404,,1/21/17,Not found,Desktop,4/17/17
http://www.law.columbia.edu/dorf/cv.html,404,,2/15/11,Not found,Desktop,2/20/17
http://www.law.columbia.edu/law_school/communications/reports/summer06/capitalpunish,404,,1/21/17,Not found,Desktop,5/17/17
http://www.law.columbia.edu/null?&,404,,1/20/17,Not found,Desktop,5/3/17
http://www.law.columbia.edu/fac/Amal_Clooney,404,,1/19/17,Not found,Desktop,5/20/17
http://www.law.columbia.edu/law_school/communications/reports/winter06/facforum1,404,,1/21/17,Not found,Desktop,5/20/17
http://www.law.columbia.edu/fac/Nathaniel_Persily,404,,5/1/17,Not found,Desktop,5/1/17
http://www.law.columbia.edu/law_school/communications/reports/winter2004/bio,404,,1/20/17,Not found,Desktop,5/12/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/USHRN%20Human%20Rights%20Report.pdf,404,,1/21/17,Not found,Desktop,4/22/17
http://www.law.columbia.edu/center_,404,,5/1/17,Not found,Desktop,5/1/17
http://www.law.columbia.edu/law_school/communications/reports/winter2003/r_ferguson,404,,1/20/17,Not found,Desktop,5/4/17
http://www.law.columbia.edu/fac/Abbe_Gluck,404,,5/9/17,Not found,Desktop,5/9/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/eu,404,,1/19/17,Not found,Desktop,5/3/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/Promises%20to%20Keep.pdf,404,,3/10/17,Not found,Desktop,3/31/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/BackgroundNoteASILColumbia.pdf,404,,1/23/17,Not found,Desktop,5/15/17
http://www.law.columbia.edu/library/Research_Guides/foreign_law/foreignguide,404,,1/21/17,Not found,Desktop,4/13/17
http://www.law.columbia.edu/law_school/communications/reports/summer2004,404,,1/19/17,Not found,Desktop,5/8/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002/brief,404,,1/21/17,Not found,Desktop,5/15/17
http://www.law.columbia.edu/focusareas/intlaw_portal,404,,2/8/17,Not found,Desktop,4/18/17
http://www.law.columbia.edu/center_program/law_history/Events,404,,1/20/17,Not found,Desktop,5/15/17
http://www.law.columbia.edu/center_program/law_history,404,,1/20/17,Not found,Desktop,5/6/17
http://www.law.columbia.edu/fac/T.%20Alexander_Aleinikoff,404,,1/21/17,Not found,Desktop,4/24/17
http://www.law.columbia.edu/law_school/communications/reports/summer06/lawschoolcost,404,,1/20/17,Not found,Desktop,5/18/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/eur_hr,404,,1/25/17,Not found,Desktop,4/5/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2004,404,,5/9/17,Not found,Desktop,5/18/17
http://www.law.columbia.edu/louis-henkin/55703,404,,1/19/17,Not found,Desktop,5/17/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/The%20Civilian%20Impact%20of%20Drones.pdf,404,,1/31/17,Not found,Desktop,3/15/17
http://www.law.columbia.edu/center_program/law_history/Joint_Degree,404,,1/21/17,Not found,Desktop,5/18/17
http://www.law.columbia.edu/null/download,404,,1/26/17,Not found,Desktop,5/4/17
http://www.law.columbia.edu/law_school/communications/reports/winter2003/accidentlaw,404,,1/24/17,Not found,Desktop,5/14/17
http://www.law.columbia.edu/contract-economics/conferences/laweconomicsS08/Vig%20paper.pdf,404,,12/16/13,Not found,Desktop,4/20/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002,404,,1/24/17,Not found,Desktop,3/31/17
http://www.law.columbia.edu/fac/C._Hemphill,404,,3/10/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/pubint,404,,1/20/17,Not found,Desktop,2/23/17
http://www.law.columbia.edu/_js,404,,3/2/17,Not found,Desktop,3/2/17
http://www.law.columbia.edu/contract-economics/conferences/laweconomicsS08/Mahoney%20paper.pdf,404,,1/24/14,Not found,Desktop,4/13/17
http://www.law.columbia.edu/fac/Janice_Tudy-Jackson,404,,1/21/17,Not found,Desktop,5/20/17
http://www.law.columbia.edu/law_school/communications/reports/winter2004/clerks,404,,1/21/17,Not found,Desktop,3/23/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/AfghanBriefingPaper%20FINAL.pdf,404,,1/24/17,Not found,Desktop,3/11/17
http://www.law.columbia.edu/make_gift,404,,1/20/17,Not found,Desktop,5/19/17
http://www.law.columbia.edu/curriculum/areasofstudy,404,,1/21/17,Not found,Desktop,5/15/17
http://www.law.columbia.edu/home,404,,1/20/17,Not found,Desktop,5/5/17
"http://www.law.columbia.edu/fac/Paul_Appelbaum,%20M.D.",404,,1/22/17,Not found,Desktop,4/27/17
http://www.law.columbia.edu/center_program/law_history/about,404,,1/20/17,Not found,Desktop,4/24/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003/prosenblum,404,,1/21/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/fac/Michelle_Greenberg-Kobrin,404,,1/24/17,Not found,Desktop,4/20/17
http://www.law.columbia.edu/media_inquiries/news_faculty/administrative,404,,1/19/17,Not found,Desktop,5/8/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/humrts,404,,1/27/17,Not found,Desktop,3/15/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/treaty_research,404,,1/22/17,Not found,Desktop,3/9/17
http://www.law.columbia.edu/courses/saved,404,,1/22/17,Not found,Desktop,3/4/17
http://www.law.columbia.edu/fac/Theodore_Van%20Itallie,404,,1/24/17,Not found,Desktop,3/29/17
http://www.law.columbia.edu/fac/Elizabeth%20Lazzara_Smith,404,,5/16/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/fac/Kenneth_Kettering,404,,1/19/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/make_gift/how_to_give/bequests,404,,1/19/17,Not found,Desktop,5/19/17
http://www.law.columbia.edu/law_school/communications/reports/winter2003/a_dubler,404,,1/21/17,Not found,Desktop,4/18/17
http://www.law.columbia.edu/alumni/highlights/articles/oralhistory/challange,404,,2/1/17,Not found,Desktop,4/6/17
http://www.law.columbia.edu/fac/Peggy_Cross-Goldenberg,404,,1/24/17,Not found,Desktop,3/29/17
http://www.law.columbia.edu/rss/news,404,,3/2/17,Not found,Desktop,5/11/17
http://www.law.columbia.edu/alumni/alumni_calendar,404,,1/20/17,Not found,Desktop,4/25/17
http://www.law.columbia.edu/contract-economics/index.html,404,,2/9/14,Not found,Desktop,4/24/17
http://www.law.columbia.edu/law_school/communications/reports/winter2002,404,,1/19/17,Not found,Desktop,4/19/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=551544,404,,2/1/17,Not found,Desktop,4/21/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=164384,404,,1/30/17,Not found,Desktop,4/29/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/The%20Road%20To%20Rights.Outcomes%20Document.pdf,404,,1/19/17,Not found,Desktop,4/3/17
http://www.law.columbia.edu/law_school/communications/reports/winter2002/enviro_at_cls3,404,,2/1/17,Not found,Desktop,4/6/17
http://www.law.columbia.edu/fac/Brad_Greenberg,404,,3/26/17,Not found,Desktop,4/15/17
http://www.law.columbia.edu/calendar/feeds,404,,1/21/17,Not found,Desktop,5/4/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=612486,404,,1/26/17,Not found,Desktop,4/7/17
http://www.law.columbia.edu/media_inquiries/news_faculty/civilrights,404,,1/25/17,Not found,Desktop,3/27/17
http://www.law.columbia.edu/law_school/communications/reports/winter2002/environ_at_cls,404,,1/19/17,Not found,Desktop,5/12/17
http://www.law.columbia.edu/fac/James_Nelson,404,,1/21/17,Not found,Desktop,5/18/17
http://www.law.columbia.edu/law_school/career_services,404,,2/16/17,Not found,Desktop,4/12/17
http://www.law.columbia.edu/calendar/eventplanning,404,,1/21/17,Not found,Desktop,4/10/17
http://www.law.columbia.edu/center_program/intel_prop/graduates,404,,1/21/17,Not found,Desktop,3/25/17
http://www.law.columbia.edu/fac/O.%20Thomas_Johnson,404,,1/22/17,Not found,Desktop,4/15/17
http://www.law.columbia.edu/fac/Delphine_Nougayr%C3%A8de,404,,1/19/17,Not found,Desktop,4/21/17
http://www.law.columbia.edu/make_gift/how_to_give/cash,404,,2/1/17,Not found,Desktop,2/23/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003/mfox,404,,1/21/17,Not found,Desktop,5/12/17
http://www.law.columbia.edu/_rtimages,404,,1/21/17,Not found,Desktop,5/2/17
http://www.law.columbia.edu/law_school/communications/reports/fall2005/facultyforum,404,,1/21/17,Not found,Desktop,4/26/17
http://www.law.columbia.edu/alumni/highlights/articles/oralhistory/images,404,,2/1/17,Not found,Desktop,4/19/17
http://www.law.columbia.edu/center_program/gendersexuality/colloquium/ginsburg/ginsburg-photos,404,,1/21/17,Not found,Desktop,5/9/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002/portraits11_22,404,,1/20/17,Not found,Desktop,3/24/17
